director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title
Richard Lanni,Logan Lerman,Helena Bonham Carter,Gérard Depardieu,Animation Adventure Family History War,sgt. stubby: an american hero
Emilio Insolera,Emilio Insolera,Carola Insolera,Ben Bahan,Science Fiction Adventure,sign gene
Marc Silverstein,Amy Schumer,Michelle Williams,Rory Scovel,Comedy Romance,i feel pretty
Jay Chandrasekhar,Jay Chandrasekhar,Kevin Heffernan,Steve Lemme,Comedy Crime Mystery,super troopers 2
Deon Taylor,Paula Patton,Omar Epps,Laz Alonso,Horror Thriller,traffik
Peter Livolsi,Ellen Burstyn,Nick Offerman,Asa Butterfield,Drama Comedy,the house of tomorrow
Russo brothers,Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo,Adventure Action Science Fiction,avengers: infinity war
n Lelio,Rachel Weisz,Rachel McAdams,Alessandro Nivola,Drama Romance,disobedience
Per Fly,Theo James,Ben Kingsley,Belçim Bilgin,Thriller Drama History,backstabbing for beginners
ven,Halle Berry,Daniel Craig,,Romance Drama Crime,kings
Rob Greenberg,Eugenio Derbez,Anna Faris,Eva Longoria,Romance Comedy,overboard
Jason Reitman,Charlize Theron,Mackenzie Davis,Ron Livingston,Comedy Drama,tully
Dean Devlin,David Tennant,Robert Sheehan,Carlito Olivero,Thriller Crime Horror Drama,bad samaritan
Bobby Miller,Johnny Galecki,Anna Friel,Oliver Platt,Drama Comedy Fantasy Horror,the cleanse
Betsy West,Gloria Steinem,,,Documentary,rbg
Ben Falcone,Melissa McCarthy,Gillian Jacobs,Maya Rudolph,Comedy,life of the party
James McTeigue,Gabrielle Union,Billy Burke,Richard Cabral,Action Adventure Comedy Crime,breaking in
Michael Mayer,Annette Bening,Saoirse Ronan,Corey Stoll,Drama Romance Comedy,the seagull
Vaughn Stein,Margot Robbie,Simon Pegg,Dexter Fletcher,Crime Drama Thriller Action Comedy Mystery,terminal
David Leitch,Ryan Reynolds,Josh Brolin,Morena Baccarin,Action Comedy Adventure,deadpool 2
Raja Gosnell,Will Arnett,Ludacris,Natasha Lyonne,Adventure Crime Family Comedy,show dogs
Bill Holderman,Diane Keaton,Jane Fonda,Candice Bergen,Horror Thriller,book club
Paul Schrader,Ethan Hawke,Amanda Seyfried,Cedric the Entertainer,Drama,first reformed
Ramin Bahrani,Michael B. Jordan,Michael Shannon,Sofia Boutella,Drama Science Fiction Thriller,fahrenheit 451
Ron Howard,Alden Ehrenreich,Woody Harrelson,Emilia Clarke,Science Fiction Adventure Action,solo: a star wars story
John Cameron Mitchell,Elle Fanning,Alex Sharp,Nicole Kidman,Comedy Music Romance Science Fiction,how to talk to girls at parties
Anthony Byrne,Natalie Dormer,Ed Skrein,Emily Ratajkowski,Thriller Mystery,in darkness
James Franco,James Franco,Suki Waterhouse,Jeffrey Wahlberg,Science Fiction,future world
Jennifer Fox,Laura Dern,Ellen Burstyn,Jason Ritter,Drama Mystery,the tale
Tim Kirkby,Johnny Knoxville,Chris Pontius,,Comedy,action point
kur,Shailene Woodley,Sam Claflin,,Thriller Romance Adventure,adrift
Leigh Whannell,Logan Marshall-Green,Betty Gabriel,Harrison Gilbertson,Action Thriller Science Fiction,upgrade
Bart Layton,Evan Peters,Barry Keoghan,Blake Jenner,Drama Crime Documentary,american animals
Theresa Bennett,Noël Wells,Josh Radnor,Aya Cash,Comedy Romance,social animals
Gary Ross,Sandra Bullock,Cate Blanchett,Anne Hathaway,Crime Comedy Action,ocean's 8
Morgan Neville,Fred Rogers,François Clemmons,Yo-Yo Ma,Documentary,won't you be my neighbor?
Ari Aster,Toni Collette,Alex Wolff,Milly Shapiro,Horror Mystery Thriller,hereditary
Drew Pearce,Jodie Foster,Sterling K. Brown,Sofia Boutella,Thriller Science Fiction Action Crime Drama,hotel artemis
Director X,Trevor Jackson,Jason Mitchell,Michael K. Williams,Action Crime,superfly
Brad Bird,Craig T. Nelson,Holly Hunter,Sarah Vowell,Action Adventure Animation Family,incredibles 2
Jeff Tomsic,Ed Helms,Jake Johnson,Annabelle Wallis,Comedy Action,tag
Kevin Connolly,John Travolta,Spencer Lofranco,Pruitt Taylor Vince,Crime Drama History Thriller,gotti
J. A. Bayona,Chris Pratt,Bryce Dallas Howard,Rafe Spall,Action Adventure Science Fiction Thriller,jurassic world: fallen kingdom
Shana Feste,Vera Farmiga,Christopher Plummer,Lewis MacDougall,Comedy Drama,boundaries
Nathan Zellner,Robert Pattinson,Mia Wasikowska,,Western Drama Comedy,damsel
Mike P. Nelson,Tyler Hoechlin,Kate Bosworth,Lance Reddick,Thriller Horror,the domestics
Stefano Sollima,Benicio del Toro,Josh Brolin,Isabela Merced,Action Crime Thriller,sicario: day of the soldado
Debra Granik,Ben Foster,Thomasin McKenzie,Jeff Kober,Drama,leave no trace
Matt Sivertson,Caroline Amiguet,Sara Wolfkind,Michael Christopher Shantz,Drama,love all you have left
Charles Stone III,Kyrie Irving,Lil Rel Howery,Shaquille O'Neal,Comedy,uncle drew
Susanna White,Jessica Chastain,Michael Greyeyes,Chaske Spencer,Drama History Western,woman walks ahead
Richie Moore,Russell Geoffrey Banks,Sara Malakul Lane,Margaret Roche,Horror TV Movie,who's watching oliver
Gerard McMurray,Y'lan Noel,Lex Scott Davis,Joivan Wade,Action Horror Thriller,the first purge
Peyton Reed,Paul Rudd,Evangeline Lilly,Michael Peña,Action Adventure Science Fiction,ant-man and the wasp
Boots Riley,LaKeith Stanfield,Tessa Thompson,Jermaine Fowler,Fantasy Science Fiction Comedy,sorry to bother you
Kevin Macdonald,Whitney Houston,,,Romance Drama Music,whitney
Genndy Tartakovsky,Adam Sandler,Andy Samberg,Selena Gomez,Animation Comedy Family Fantasy,hotel transylvania 3: summer vacation
Rawson Marshall Thurber,Dwayne Johnson,Neve Campbell,Chin Han,Action Adventure Thriller,skyscraper
Bo Burnham,Elsie Fisher,Josh Hamilton,Emily Robinson,Comedy Drama,eighth grade
Gus Van Sant,Joaquin Phoenix,Jonah Hill,Rooney Mara,Comedy Drama,"don't worry, he won't get far on foot"
Rob Reiner,Woody Harrelson,James Marsden,Rob Reiner,History Drama Thriller,shock and awe
Ol Parker,Christine Baranski,Pierce Brosnan,Dominic Cooper,Comedy Romance,mamma mia! here we go again
Antoine Fuqua,Denzel Washington,Pedro Pascal,Ashton Sanders,Action Thriller Crime,the equalizer 2
pez Estrada,Daveed Diggs,Rafael Casal,Janina Gavankar,Comedy Crime Drama,blindspotting
Stephen Susco,Colin Woodell,Rebecca Rittenhouse,Betty Gabriel,Horror Thriller Mystery,unfriended: dark web
Christopher McQuarrie,Tom Cruise,Henry Cavill,Ving Rhames,Action Adventure,mission: impossible – fallout
Peter Rida Michail,Greg Cipes,Scott Menville,Khary Payton,Animation Action Comedy Science Fiction,teen titans go! to the movies
Elijah Bynum,Timothée Chalamet,Maika Monroe,Alex Roe,Drama Crime,hot summer nights
Marc Turtletaub,Kelly Macdonald,Irrfan Khan,David Denman,Drama,puzzle
Ben Young,Michael Peña,Lizzy Caplan,Mike Colter,Action Drama Science Fiction Thriller,extinction
Marc Forster,Ewan McGregor,Hayley Atwell,Jim Cummings,Adventure Comedy Family Fantasy,christopher robin
Jennifer Yuh Nelson,Amandla Stenberg,Harris Dickinson,Mandy Moore,Action Adventure Drama,the darkest minds
Susanna Fogel,Mila Kunis,Kate McKinnon,Justin Theroux,Comedy Action Adventure,the spy who dumped me
Desiree Akhavan,Chloë Grace Moretz,John Gallagher Jr.,Sasha Lane,Drama,the miseducation of cameron post
Augustine Frizzell,Maia Mitchell,Camila Morrone,,Comedy,never goin' back
Ken Marino,Nina Dobrev,Vanessa Hudgens,Adam Pally,Romance Comedy,dog days
Jon Turteltaub,Jason Statham,Li Bingbing,Rainn Wilson,Action Science Fiction Horror,the meg
Spike Lee,John David Washington,Adam Driver,Laura Harrier,Crime Comedy Drama History,blackkklansman
Sylvain White,Julia Goldani Telles,Joey King,Jaz Sinclair,Horror Mystery Thriller,slender man
phane Sauvaire,Joe Cole,,,Drama Action Crime,a prayer before dawn
Sebastian Gutierrez,Abbey Lee,Matthew Beard,Carla Gugino,Science Fiction Thriller Horror Mystery,elizabeth harvest
Jon M. Chu,Constance Wu,Henry Golding,Gemma Chan,Comedy Romance,crazy rich asians
Albert Hughes,Kodi Smit-McPhee,Jóhannes Haukur Jóhannesson,,Adventure Drama,alpha
Peter Berg,Mark Wahlberg,Iko Uwais,John Malkovich,Action Thriller,mile 22
rn Runge,Glenn Close,Jonathan Pryce,Christian Slater,Drama,the wife
James Cox,Ansel Elgort,Taron Egerton,Emma Roberts,Thriller TV Movie,billionaire boys club
Jesse Peretz,Rose Byrne,Ethan Hawke,Chris O'Dowd,Comedy Drama Romance,"juliet, naked"
s,AnnaSophia Robb,Isabelle Fuhrman,Victoria Moroles,Horror Mystery Thriller Fantasy Drama,down a dark hall
Susan Johnson,Lana Condor,Noah Centineo,Janel Parrish,Comedy Romance,to all the boys i've loved before
Brian Henson,Melissa McCarthy,Bill Barretta,Joel McHale,Action Comedy Crime,the happytime murders
Aneesh Chaganty,John Cho,Debra Messing,,Drama Mystery Thriller,searching
Michael Noer,Charlie Hunnam,Rami Malek,Roland Møller,Drama,papillon
Oliver Daly,Alex Neustaedter,Becky G,Alex MacNicoll,Science Fiction Action Adventure Family,a.x.l.
Chris Weitz,Oscar Isaac,Ben Kingsley,Mélanie Laurent,Drama History Thriller,operation finale
Josh Baker,Myles Truitt,Jack Reynor,Zoë Kravitz,Thriller Drama,kin
Victor Levin,Winona Ryder,Keanu Reeves,,Romance Comedy Drama,destination wedding
Brian A. Miller,Bruce Willis,Frank Grillo,Johnathon Schaech,,reprisal
Corin Hardy,Demián Bichir,Taissa Farmiga,Jonas Bloquet,Horror,the nun
Pierre Morel,Jennifer Garner,John Ortiz,John Gallagher Jr.,Action Thriller,peppermint
Shane Black,Boyd Holbrook,Trevante Rhodes,Jacob Tremblay,Science Fiction Action Adventure Thriller,the predator
Paul Feig,Anna Kendrick,Blake Lively,Henry Golding,Thriller Crime Comedy,a simple favor
Yann Demange,Matthew McConaughey,Richie Merritt,Bel Powley,Crime Drama,white boy rick
Harold Cronk,Samuel Hunt,Merritt Patterson,Vanessa Bell Calloway,Drama,unbroken: path to redemption
Richard Eyre,Emma Thompson,Stanley Tucci,Fionn Whitehead,Drama,the children act
Craig William Macneill,Chloë Sevigny,Kristen Stewart,Jay Huguley,Crime Drama Thriller,lizzie
Stephen Cognetti,Vasile Flutur,Jillian Geurts,Joy Shatz,Horror Mystery,hell house llc ii: the abaddon hotel
Eli Roth,Jack Black,Cate Blanchett,Owen Vaccaro,Fantasy Family Comedy Horror,the house with a clock in its walls
Dan Fogelman,Oscar Isaac,Olivia Wilde,Mandy Patinkin,Drama Romance,life itself
Jacques Audiard,John C. Reilly,Joaquin Phoenix,Jake Gyllenhaal,Western Drama Comedy,the sisters brothers
Sam Levinson,Odessa Young,Suki Waterhouse,Hari Nef,Thriller Horror Comedy,assassination nation
Donald Petrie,Emma Roberts,Hayden Christensen,Alyssa Milano,Comedy Romance,little italy
Wash Westmoreland,Keira Knightley,Dominic West,Eleanor Tomlinson,Drama History Romance,colette
Michael Moore,,,,Documentary,fahrenheit 11/9
Apolito,Gilda Radner,Amy Poehler,Melissa McCarthy,Documentary,"love, gilda"
Karey Kirkpatrick,Channing Tatum,James Corden,Zendaya,Family Animation Adventure Fantasy Comedy,smallfoot
Malcolm D. Lee,Kevin Hart,Tiffany Haddish,Rob Riggle,Comedy,night school
David Lowery,Robert Redford,Casey Affleck,Danny Glover,Comedy Crime Drama,the old man & the gun
Gregory Plotkin,Amy Forsyth,Reign Edwards,Bex Taylor-Klaus,Horror Thriller,hell fest
Ruben Fleischer,Tom Hardy,Michelle Williams,Riz Ahmed,Science Fiction Action,venom
Bradley Cooper,Bradley Cooper,Lady Gaga,Andrew Dice Clay,Drama Romance,a star is born
Peter Bogdanovich,,,,Documentary Comedy,the great buster: a celebration
Damien Chazelle,Ryan Gosling,Claire Foy,Jason Clarke,History Drama,first man
Drew Goddard,Jeff Bridges,Cynthia Erivo,Dakota Johnson,Thriller Mystery Crime Drama,bad times at the el royale
Ari Sandel,Wendi McLendon-Covey,Madison Iseman,Jeremy Ray Taylor,Comedy Fantasy Horror,goosebumps 2: haunted halloween
Felix van Groeningen,Steve Carell,Timothée Chalamet,Maura Tierney,Drama,beautiful boy
Ike Barinholtz,Ike Barinholtz,Tiffany Haddish,Nora Dunn,Documentary,the oath
Nick Searcy,Earl Billings,Dean Cain,Sarah Jane Morris,Drama Crime,gosnell: the trial of america's biggest serial killer
Joey Power,,,,Romance Drama,after everything
David Gordon Green,Jamie Lee Curtis,Judy Greer,Andi Matichak,Horror Thriller,halloween
George Tillman Jr.,Amandla Stenberg,Regina Hall,Russell Hornsby,Crime Drama,the hate u give
Marielle Heller,Melissa McCarthy,Richard E. Grant,,Drama Crime Comedy History,can you ever forgive me?
Jonah Hill,Sunny Suljic,Lucas Hedges,Na-Kel Smith,Drama Comedy,mid90s
Paul Dano,Carey Mulligan,Jake Gyllenhaal,Ed Oxenbould,Drama,wildlife
Elizabeth Chomko,Hilary Swank,Michael Shannon,Robert Forster,Drama,what they had
Sacha Gervasi,Peter Dinklage,Jamie Dornan,Andy García,Drama TV Movie,my dinner with hervé
Donovan Marsh,Gerard Butler,Gary Oldman,Common,Action Adventure Thriller,hunter killer
David Kerr,Rowan Atkinson,Ben Miller,Olga Kurylenko,Action Adventure Comedy,johnny english strikes again
Luca Guadagnino,Dakota Johnson,Tilda Swinton,Mia Goth,Horror Mystery Drama,suspiria
David G. Evans,Sarah Drew,Justin Bruening,Eddie Kaulukukui,Drama War,indivisible
David McCracken,Mike C. Nelson,Jenni Melear,David McCracken,Action Drama Thriller,bullitt county
,Rami Malek,Lucy Boynton,Gwilym Lee,Music Drama,bohemian rhapsody
Joe Johnston,Keira Knightley,Mackenzie Foy,Eugenio Derbez,Fantasy Adventure Family,the nutcracker and the four realms
Tyler Perry,Tiffany Haddish,Tika Sumpter,Omari Hardwick,Drama Comedy,nobody's fool
Joel Edgerton,Lucas Hedges,Nicole Kidman,Joel Edgerton,Drama,boy erased
Orson Welles,John Huston,Oja Kodar,Peter Bogdanovich,Drama,the other side of the wind
Matthew Heineman,Rosamund Pike,Jamie Dornan,Tom Hollander,Drama War,a private war
Chris Caldwell,Pedro Pascal,Sophie Thatcher,Jay Duplass,Science Fiction,prospect
Joseph Kahn,Calum Worthy,Jackie Long,Rory Uphold,Drama Comedy Music,bodied
Jason Reitman,Hugh Jackman,Vera Farmiga,J. K. Simmons,Drama History,the front runner
Yarrow Cheney,Benedict Cumberbatch,Rashida Jones,Kenan Thompson,Family Comedy Animation Fantasy,the grinch
lvarez,Claire Foy,Sverrir Gudnason,LaKeith Stanfield,Action Crime Thriller,the girl in the spider's web
Julius Avery,Jovan Adepo,Wyatt Russell,Mathilde Ollivier,Drama History War,overlord
Coen brothers,Tyne Daly,James Franco,Brendan Gleeson,Western Comedy Drama Music Mystery Romance,the ballad of buster scruggs
Matt Hullum,Burnie Burns,Gavin Free,Michael Jones,Science Fiction Action Adventure Comedy,lazer team 2
David Yates,Eddie Redmayne,Katherine Waterston,Dan Fogler,Fantasy Adventure,fantastic beasts: the crimes of grindelwald
Steve McQueen,Viola Davis,Michelle Rodriguez,Elizabeth Debicki,Crime Thriller Drama,widows
Peter Farrelly,Viggo Mortensen,Mahershala Ali,Linda Cardellini,Drama History,green book
Sean Anders,Mark Wahlberg,Rose Byrne,Isabela Merced,Comedy Drama,instant family
Rich Moore,John C. Reilly,Sarah Silverman,Gal Gadot,Family Animation Comedy Adventure,ralph breaks the internet
Steven Caple Jr.,Michael B. Jordan,Sylvester Stallone,Tessa Thompson,Drama Action,creed ii
Otto Bathurst,Taron Egerton,Jamie Foxx,Ben Mendelsohn,Adventure Romance,robin hood
n,Yalitza Aparicio,Marina de Tavira,Jorge Antonio Guerrero,Drama History Romance Mystery,roma
Yorgos Lanthimos,Olivia Colman,Emma Stone,Rachel Weisz,History Comedy Drama,the favourite
Andy Serkis,Christian Bale,Cate Blanchett,Benedict Cumberbatch,Adventure Drama,mowgli: legend of the jungle
Diederik van Rooijen,Shay Mitchell,Grey Damon,Kirby Johnson,Horror Drama,the possession of hannah grace
Johan Bodell,Christopher Lee Page,Caitlin Crommett,Erik Kammerland,Comedy TV Movie,the cabin
Josie Rourke,Saoirse Ronan,Margot Robbie,Jack Lowden,Drama History,mary queen of scots
Peter Hedges,Julia Roberts,Lucas Hedges,Courtney B. Vance,Drama,ben is back
Rodney Rothman,Shameik Moore,Jake Johnson,Hailee Steinfeld,Animation Action Adventure Science Fiction,spider-man: into the spider-verse
Christian Rivers,Hera Hilmar,Robert Sheehan,Hugo Weaving,Adventure Science Fiction,mortal engines
Clint Eastwood,Clint Eastwood,Bradley Cooper,Laurence Fishburne,Crime Drama,the mule
Barry Jenkins,KiKi Layne,Stephan James,Colman Domingo,Romance Drama,if beale street could talk
Rob Marshall,Emily Blunt,Lin-Manuel Miranda,Ben Whishaw,Fantasy Family Comedy,mary poppins returns
James Wan,Jason Momoa,Amber Heard,Willem Dafoe,Action Adventure TV Movie,aquaman
Travis Knight,Hailee Steinfeld,John Cena,Jorge Lendeborg Jr.,Action Adventure Science Fiction,bumblebee
Robert Zemeckis,Steve Carell,Leslie Mann,Diane Kruger,Drama Comedy,welcome to marwen
Peter Segal,Jennifer Lopez,Leah Remini,Vanessa Hudgens,Romance Comedy,second act
Etan Cohen,Will Ferrell,John C. Reilly,Rebecca Hall,Drama Mystery Thriller Crime,holmes & watson
Adam McKay,Christian Bale,Amy Adams,Steve Carell,Thriller Science Fiction Action Adventure,vice
Mimi Leder,Felicity Jones,Armie Hammer,Justin Theroux,Drama History,on the basis of sex
Karyn Kusama,Nicole Kidman,Sebastian Stan,Toby Kebbell,Drama War,destroyer
